Id:ID¿ Type¿ Kind¿ Code¿ Range¿ Location¿ Value¿ Raw¿ Async¿ Computed¿ Generator¿ SourceType
1228¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1229¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1230¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1231¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1232¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1233¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1234¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1235¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1236¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1237¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1238¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1239¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1240¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1241¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1242¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1243¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1244¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1245¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1246¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1247¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1248¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ 
1¿ Program¿ ¿ ¿ [288,8717]¿ {start:{line:3,column:0},end:{line:216,column:28}}¿ ¿ ¿ ¿ ¿ ¿ 
2¿ ExpressionStatement¿ ¿ ¿ [288,8717]¿ {start:{line:3,column:0},end:{line:216,column:28}}¿ ¿ ¿ ¿ ¿ ¿ 
3¿ CallExpression¿ ¿ ¿ [288,8717]¿ {start:{line:3,column:0},end:{line:216,column:28}}¿ ¿ ¿ ¿ ¿ ¿ 
4¿ FunctionExpression¿ ¿ ¿ [289,8690]¿ {start:{line:3,column:1},end:{line:216,column:1}}¿ ¿ ¿ ¿ ¿ false¿ 
5¿ Identifier¿ ¿ e¿ [298,299]¿ {start:{line:3,column:10},end:{line:3,column:11}}¿ ¿ ¿ ¿ ¿ ¿ 
6¿ Identifier¿ ¿ t¿ [301,302]¿ {start:{line:3,column:13},end:{line:3,column:14}}¿ ¿ ¿ ¿ ¿ ¿ 
7¿ Identifier¿ ¿ n¿ [304,305]¿ {start:{line:3,column:16},end:{line:3,column:17}}¿ ¿ ¿ ¿ ¿ ¿ 
8¿ Identifier¿ ¿ r¿ [307,308]¿ {start:{line:3,column:19},end:{line:3,column:20}}¿ ¿ ¿ ¿ ¿ ¿ 
9¿ BlockStatement¿ ¿ ¿ [310,8690]¿ {start:{line:3,column:22},end:{line:216,column:1}}¿ ¿ ¿ ¿ ¿ ¿ 
10¿ VariableDeclaration¿ var¿ ¿ [316,1275]¿ {start:{line:4,column:4},end:{line:27,column:10}}¿ ¿ ¿ ¿ ¿ ¿ 
11¿ VariableDeclarator¿ ¿ =¿ [320,331]¿ {start:{line:4,column:8},end:{line:4,column:19}}¿ ¿ ¿ ¿ ¿ ¿ 
12¿ Identifier¿ ¿ i¿ [320,321]¿ {start:{line:4,column:8},end:{line:4,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
13¿ Literal¿ ¿ ¿ [324,331]¿ {start:{line:4,column:12},end:{line:4,column:19}}¿ growl¿ growl¿ ¿ ¿ ¿ 
14¿ VariableDeclarator¿ ¿ =¿ [341,358]¿ {start:{line:5,column:8},end:{line:5,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
15¿ Identifier¿ ¿ s¿ [341,342]¿ {start:{line:5,column:8},end:{line:5,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
16¿ BinaryExpression¿ ¿ +¿ [345,358]¿ {start:{line:5,column:12},end:{line:5,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
17¿ Literal¿ ¿ ¿ [345,354]¿ {start:{line:5,column:12},end:{line:5,column:21}}¿ plugin_¿ plugin_¿ ¿ ¿ ¿ 
18¿ Identifier¿ ¿ i¿ [357,358]¿ {start:{line:5,column:24},end:{line:5,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
19¿ VariableDeclarator¿ ¿ =¿ [368,1274]¿ {start:{line:6,column:8},end:{line:27,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
20¿ Identifier¿ ¿ o¿ [368,369]¿ {start:{line:6,column:8},end:{line:6,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
21¿ ObjectExpression¿ ¿ ¿ [372,1274]¿ {start:{line:6,column:12},end:{line:27,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
22¿ Property¿ init¿ ¿ [386,401]¿ {start:{line:7,column:12},end:{line:7,column:27}}¿ ¿ ¿ ¿ ¿ ¿ 
23¿ Identifier¿ ¿ element¿ [386,393]¿ {start:{line:7,column:12},end:{line:7,column:19}}¿ ¿ ¿ ¿ ¿ ¿ 
24¿ Literal¿ ¿ ¿ [395,401]¿ {start:{line:7,column:21},end:{line:7,column:27}}¿ body¿ body¿ ¿ ¿ ¿ 
25¿ Property¿ init¿ ¿ [415,427]¿ {start:{line:8,column:12},end:{line:8,column:24}}¿ ¿ ¿ ¿ ¿ ¿ 
26¿ Identifier¿ ¿ type¿ [415,419]¿ {start:{line:8,column:12},end:{line:8,column:16}}¿ ¿ ¿ ¿ ¿ ¿ 
27¿ Literal¿ ¿ ¿ [421,427]¿ {start:{line:8,column:18},end:{line:8,column:24}}¿ info¿ info¿ ¿ ¿ ¿ 
28¿ Property¿ init¿ ¿ [441,460]¿ {start:{line:9,column:12},end:{line:9,column:31}}¿ ¿ ¿ ¿ ¿ ¿ 
29¿ Identifier¿ ¿ allow_dismiss¿ [441,454]¿ {start:{line:9,column:12},end:{line:9,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
30¿ Literal¿ ¿ ¿ [456,460]¿ {start:{line:9,column:27},end:{line:9,column:31}}¿ true¿ true¿ ¿ ¿ ¿ 
31¿ Property¿ init¿ ¿ [474,560]¿ {start:{line:10,column:12},end:{line:13,column:13}}¿ ¿ ¿ ¿ ¿ ¿ 
32¿ Identifier¿ ¿ placement¿ [474,483]¿ {start:{line:10,column:12},end:{line:10,column:21}}¿ ¿ ¿ ¿ ¿ ¿ 
33¿ ObjectExpression¿ ¿ ¿ [485,560]¿ {start:{line:10,column:23},end:{line:13,column:13}}¿ ¿ ¿ ¿ ¿ ¿ 
34¿ Property¿ init¿ ¿ [503,514]¿ {start:{line:11,column:16},end:{line:11,column:27}}¿ ¿ ¿ ¿ ¿ ¿ 
35¿ Identifier¿ ¿ from¿ [503,507]¿ {start:{line:11,column:16},end:{line:11,column:20}}¿ ¿ ¿ ¿ ¿ ¿ 
36¿ Literal¿ ¿ ¿ [509,514]¿ {start:{line:11,column:22},end:{line:11,column:27}}¿ top¿ top¿ ¿ ¿ ¿ 
37¿ Property¿ init¿ ¿ [532,546]¿ {start:{line:12,column:16},end:{line:12,column:30}}¿ ¿ ¿ ¿ ¿ ¿ 
38¿ Identifier¿ ¿ align¿ [532,537]¿ {start:{line:12,column:16},end:{line:12,column:21}}¿ ¿ ¿ ¿ ¿ ¿ 
39¿ Literal¿ ¿ ¿ [539,546]¿ {start:{line:12,column:23},end:{line:12,column:30}}¿ right¿ right¿ ¿ ¿ ¿ 
40¿ Property¿ init¿ ¿ [574,584]¿ {start:{line:14,column:12},end:{line:14,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
41¿ Identifier¿ ¿ offset¿ [574,580]¿ {start:{line:14,column:12},end:{line:14,column:18}}¿ ¿ ¿ ¿ ¿ ¿ 
42¿ Literal¿ ¿ ¿ [582,584]¿ {start:{line:14,column:20},end:{line:14,column:22}}¿ 20¿ 20¿ ¿ ¿ ¿ 
43¿ Property¿ init¿ ¿ [598,609]¿ {start:{line:15,column:12},end:{line:15,column:23}}¿ ¿ ¿ ¿ ¿ ¿ 
44¿ Identifier¿ ¿ spacing¿ [598,605]¿ {start:{line:15,column:12},end:{line:15,column:19}}¿ ¿ ¿ ¿ ¿ ¿ 
45¿ Literal¿ ¿ ¿ [607,609]¿ {start:{line:15,column:21},end:{line:15,column:23}}¿ 10¿ 10¿ ¿ ¿ ¿ 
46¿ Property¿ init¿ ¿ [623,636]¿ {start:{line:16,column:12},end:{line:16,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
47¿ Identifier¿ ¿ z_index¿ [623,630]¿ {start:{line:16,column:12},end:{line:16,column:19}}¿ ¿ ¿ ¿ ¿ ¿ 
48¿ Literal¿ ¿ ¿ [632,636]¿ {start:{line:16,column:21},end:{line:16,column:25}}¿ 1031¿ 1031¿ ¿ ¿ ¿ 
49¿ Property¿ init¿ ¿ [650,660]¿ {start:{line:17,column:12},end:{line:17,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
50¿ Identifier¿ ¿ delay¿ [650,655]¿ {start:{line:17,column:12},end:{line:17,column:17}}¿ ¿ ¿ ¿ ¿ ¿ 
51¿ Literal¿ ¿ ¿ [657,660]¿ {start:{line:17,column:19},end:{line:17,column:22}}¿ 5000¿ 5e3¿ ¿ ¿ ¿ 
52¿ Property¿ init¿ ¿ [674,684]¿ {start:{line:18,column:12},end:{line:18,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
53¿ Identifier¿ ¿ timer¿ [674,679]¿ {start:{line:18,column:12},end:{line:18,column:17}}¿ ¿ ¿ ¿ ¿ ¿ 
54¿ Literal¿ ¿ ¿ [681,684]¿ {start:{line:18,column:19},end:{line:18,column:22}}¿ 1000¿ 1e3¿ ¿ ¿ ¿ 
55¿ Property¿ init¿ ¿ [698,718]¿ {start:{line:19,column:12},end:{line:19,column:32}}¿ ¿ ¿ ¿ ¿ ¿ 
56¿ Identifier¿ ¿ url_target¿ [698,708]¿ {start:{line:19,column:12},end:{line:19,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
57¿ Literal¿ ¿ ¿ [710,718]¿ {start:{line:19,column:24},end:{line:19,column:32}}¿ _blank¿ _blank¿ ¿ ¿ ¿ 
58¿ Property¿ init¿ ¿ [732,749]¿ {start:{line:20,column:12},end:{line:20,column:29}}¿ ¿ ¿ ¿ ¿ ¿ 
59¿ Identifier¿ ¿ mouse_over¿ [732,742]¿ {start:{line:20,column:12},end:{line:20,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
60¿ Literal¿ ¿ ¿ [744,749]¿ {start:{line:20,column:24},end:{line:20,column:29}}¿ false¿ false¿ ¿ ¿ ¿ 
61¿ Property¿ init¿ ¿ [763,876]¿ {start:{line:21,column:12},end:{line:24,column:13}}¿ ¿ ¿ ¿ ¿ ¿ 
62¿ Identifier¿ ¿ animate¿ [763,770]¿ {start:{line:21,column:12},end:{line:21,column:19}}¿ ¿ ¿ ¿ ¿ ¿ 
63¿ ObjectExpression¿ ¿ ¿ [772,876]¿ {start:{line:21,column:21},end:{line:24,column:13}}¿ ¿ ¿ ¿ ¿ ¿ 
64¿ Property¿ init¿ ¿ [790,818]¿ {start:{line:22,column:16},end:{line:22,column:44}}¿ ¿ ¿ ¿ ¿ ¿ 
65¿ Identifier¿ ¿ enter¿ [790,795]¿ {start:{line:22,column:16},end:{line:22,column:21}}¿ ¿ ¿ ¿ ¿ ¿ 
66¿ Literal¿ ¿ ¿ [797,818]¿ {start:{line:22,column:23},end:{line:22,column:44}}¿ animated fadeInDown¿ animated fadeInDown¿ ¿ ¿ ¿ 
67¿ Property¿ init¿ ¿ [836,862]¿ {start:{line:23,column:16},end:{line:23,column:42}}¿ ¿ ¿ ¿ ¿ ¿ 
68¿ Identifier¿ ¿ exit¿ [836,840]¿ {start:{line:23,column:16},end:{line:23,column:20}}¿ ¿ ¿ ¿ ¿ ¿ 
69¿ Literal¿ ¿ ¿ [842,862]¿ {start:{line:23,column:22},end:{line:23,column:42}}¿ animated fadeOutUp¿ animated fadeOutUp¿ ¿ ¿ ¿ 
70¿ Property¿ init¿ ¿ [890,908]¿ {start:{line:25,column:12},end:{line:25,column:30}}¿ ¿ ¿ ¿ ¿ ¿ 
71¿ Identifier¿ ¿ icon_type¿ [890,899]¿ {start:{line:25,column:12},end:{line:25,column:21}}¿ ¿ ¿ ¿ ¿ ¿ 
72¿ Literal¿ ¿ ¿ [901,908]¿ {start:{line:25,column:23},end:{line:25,column:30}}¿ class¿ class¿ ¿ ¿ ¿ 
73¿ Property¿ init¿ ¿ [922,1264]¿ {start:{line:26,column:12},end:{line:26,column:354}}¿ ¿ ¿ ¿ ¿ ¿ 
74¿ Identifier¿ ¿ template¿ [922,930]¿ {start:{line:26,column:12},end:{line:26,column:20}}¿ ¿ ¿ ¿ ¿ ¿ 
75¿ Literal¿ ¿ ¿ [932,1264]¿ {start:{line:26,column:22},end:{line:26,column:354}}¿ <div data-growl=container class=alert role=alert><button type=button class=close data-growl=dismiss><span aria-hidden=true>&times;</span><span class=sr-only>Close</span></button><span data-growl=icon></span><span data-growl=title></span><span data-growl=message></span><a href=# data-growl=url></a></div>¿ '<div data-growl=container class=alert role=alert><button type=button class=close data-growl=dismiss><span aria-hidden=true>&times;</span><span class=sr-only>Close</span></button><span data-growl=icon></span><span data-growl=title></span><span data-growl=message></span><a href=# data-growl=url></a></div>'¿ ¿ ¿ ¿ 
76¿ VariableDeclaration¿ var¿ ¿ [1280,6307]¿ {start:{line:28,column:4},end:{line:156,column:10}}¿ ¿ ¿ ¿ ¿ ¿ 
77¿ VariableDeclarator¿ ¿ =¿ [1284,1355]¿ {start:{line:28,column:8},end:{line:30,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
78¿ Identifier¿ ¿ u¿ [1284,1285]¿ {start:{line:28,column:8},end:{line:28,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
79¿ FunctionExpression¿ ¿ ¿ [1288,1355]¿ {start:{line:28,column:12},end:{line:30,column:9}}¿ ¿ ¿ ¿ ¿ false¿ 
80¿ Identifier¿ ¿ t¿ [1297,1298]¿ {start:{line:28,column:21},end:{line:28,column:22}}¿ ¿ ¿ ¿ ¿ ¿ 
81¿ Identifier¿ ¿ n¿ [1300,1301]¿ {start:{line:28,column:24},end:{line:28,column:25}}¿ ¿ ¿ ¿ ¿ ¿ 
82¿ BlockStatement¿ ¿ ¿ [1303,1355]¿ {start:{line:28,column:27},end:{line:30,column:9}}¿ ¿ ¿ ¿ ¿ ¿ 
83¿ ExpressionStatement¿ ¿ ¿ [1317,1345]¿ {start:{line:29,column:12},end:{line:29,column:40}}¿ ¿ ¿ ¿ ¿ ¿ 
84¿ AssignmentExpression¿ ¿ =¿ [1317,1345]¿ {start:{line:29,column:12},end:{line:29,column:40}}¿ ¿ ¿ ¿ ¿ ¿ 
85¿ Identifier¿ ¿ o¿ [1317,1318]¿ {start:{line:29,column:12},end:{line:29,column:13}}¿ ¿ ¿ ¿ ¿ ¿ 
86¿ CallExpression¿ ¿ ¿ [1321,1345]¿ {start:{line:29,column:16},end:{line:29,column:40}}¿ ¿ ¿ ¿ ¿ ¿ 
