FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 3¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 3146¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 4637¿ "AST_parentOf"¿ "body"¿ {"arg":3}
1¿ 4658¿ "AST_parentOf"¿ "body"¿ {"arg":4}
3¿ 4¿ "AST_parentOf"¿ "expression"¿ {}
4¿ 5¿ "AST_parentOf"¿ "left"¿ {}
4¿ 8¿ "AST_parentOf"¿ "right"¿ {}
5¿ 6¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
5¿ 7¿ "AST_parentOf"¿ "property"¿ {"kwarg":"Modernizr"}
8¿ 9¿ "AST_parentOf"¿ "callee"¿ {}
8¿ 3142¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
8¿ 3143¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
9¿ 10¿ "AST_parentOf"¿ "params"¿ {"arg":0}
9¿ 11¿ "AST_parentOf"¿ "params"¿ {"arg":1}
9¿ 12¿ "AST_parentOf"¿ "params"¿ {"arg":2}
9¿ 13¿ "AST_parentOf"¿ "body"¿ {}
13¿ 14¿ "AST_parentOf"¿ "body"¿ {"arg":0}
13¿ 507¿ "AST_parentOf"¿ "body"¿ {"arg":1}
13¿ 559¿ "AST_parentOf"¿ "body"¿ {"arg":2}
13¿ 673¿ "AST_parentOf"¿ "body"¿ {"arg":3}
13¿ 683¿ "AST_parentOf"¿ "body"¿ {"arg":4}
13¿ 702¿ "AST_parentOf"¿ "body"¿ {"arg":5}
13¿ 712¿ "AST_parentOf"¿ "body"¿ {"arg":6}
13¿ 728¿ "AST_parentOf"¿ "body"¿ {"arg":7}
13¿ 767¿ "AST_parentOf"¿ "body"¿ {"arg":8}
13¿ 818¿ "AST_parentOf"¿ "body"¿ {"arg":9}
13¿ 903¿ "AST_parentOf"¿ "body"¿ {"arg":10}
13¿ 914¿ "AST_parentOf"¿ "body"¿ {"arg":11}
13¿ 941¿ "AST_parentOf"¿ "body"¿ {"arg":12}
13¿ 969¿ "AST_parentOf"¿ "body"¿ {"arg":13}
13¿ 982¿ "AST_parentOf"¿ "body"¿ {"arg":14}
13¿ 1040¿ "AST_parentOf"¿ "body"¿ {"arg":15}
13¿ 1051¿ "AST_parentOf"¿ "body"¿ {"arg":16}
13¿ 1064¿ "AST_parentOf"¿ "body"¿ {"arg":17}
13¿ 1077¿ "AST_parentOf"¿ "body"¿ {"arg":18}
13¿ 1091¿ "AST_parentOf"¿ "body"¿ {"arg":19}
13¿ 1115¿ "AST_parentOf"¿ "body"¿ {"arg":20}
13¿ 1132¿ "AST_parentOf"¿ "body"¿ {"arg":21}
13¿ 1159¿ "AST_parentOf"¿ "body"¿ {"arg":22}
13¿ 1174¿ "AST_parentOf"¿ "body"¿ {"arg":23}
13¿ 1192¿ "AST_parentOf"¿ "body"¿ {"arg":24}
13¿ 1217¿ "AST_parentOf"¿ "body"¿ {"arg":25}
13¿ 1236¿ "AST_parentOf"¿ "body"¿ {"arg":26}
13¿ 1247¿ "AST_parentOf"¿ "body"¿ {"arg":27}
13¿ 1258¿ "AST_parentOf"¿ "body"¿ {"arg":28}
13¿ 1269¿ "AST_parentOf"¿ "body"¿ {"arg":29}
13¿ 1280¿ "AST_parentOf"¿ "body"¿ {"arg":30}
13¿ 1299¿ "AST_parentOf"¿ "body"¿ {"arg":31}
13¿ 1318¿ "AST_parentOf"¿ "body"¿ {"arg":32}
13¿ 1329¿ "AST_parentOf"¿ "body"¿ {"arg":33}
13¿ 1340¿ "AST_parentOf"¿ "body"¿ {"arg":34}
13¿ 1396¿ "AST_parentOf"¿ "body"¿ {"arg":35}
13¿ 1407¿ "AST_parentOf"¿ "body"¿ {"arg":36}
13¿ 1420¿ "AST_parentOf"¿ "body"¿ {"arg":37}
13¿ 1468¿ "AST_parentOf"¿ "body"¿ {"arg":38}
13¿ 1479¿ "AST_parentOf"¿ "body"¿ {"arg":39}
13¿ 1565¿ "AST_parentOf"¿ "body"¿ {"arg":40}
13¿ 1603¿ "AST_parentOf"¿ "body"¿ {"arg":41}
