FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 80¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 138¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 354¿ "AST_parentOf"¿ "body"¿ {"arg":3}
1¿ 377¿ "AST_parentOf"¿ "body"¿ {"arg":4}
1¿ 396¿ "AST_parentOf"¿ "body"¿ {"arg":5}
1¿ 641¿ "AST_parentOf"¿ "body"¿ {"arg":6}
1¿ 781¿ "AST_parentOf"¿ "body"¿ {"arg":7}
1¿ 860¿ "AST_parentOf"¿ "body"¿ {"arg":8}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"__assign"}
3¿ 5¿ "AST_parentOf"¿ "init"¿ {}
5¿ 6¿ "AST_parentOf"¿ "left"¿ {}
5¿ 11¿ "AST_parentOf"¿ "right"¿ {}
6¿ 7¿ "AST_parentOf"¿ "left"¿ {}
6¿ 8¿ "AST_parentOf"¿ "right"¿ {}
8¿ 9¿ "AST_parentOf"¿ "object"¿ {}
8¿ 10¿ "AST_parentOf"¿ "property"¿ {"kwarg":"__assign"}
11¿ 12¿ "AST_parentOf"¿ "body"¿ {}
12¿ 13¿ "AST_parentOf"¿ "body"¿ {"arg":0}
12¿ 73¿ "AST_parentOf"¿ "body"¿ {"arg":1}
13¿ 14¿ "AST_parentOf"¿ "expression"¿ {}
14¿ 15¿ "AST_parentOf"¿ "left"¿ {"kwarg":"__assign"}
14¿ 16¿ "AST_parentOf"¿ "right"¿ {}
16¿ 17¿ "AST_parentOf"¿ "left"¿ {}
16¿ 20¿ "AST_parentOf"¿ "right"¿ {}
17¿ 18¿ "AST_parentOf"¿ "object"¿ {"kwarg":"Object"}
17¿ 19¿ "AST_parentOf"¿ "property"¿ {"kwarg":"assign"}
20¿ 21¿ "AST_parentOf"¿ "params"¿ {"arg":0}
20¿ 22¿ "AST_parentOf"¿ "body"¿ {}
22¿ 23¿ "AST_parentOf"¿ "body"¿ {"arg":0}
22¿ 71¿ "AST_parentOf"¿ "body"¿ {"arg":1}
23¿ 24¿ "AST_parentOf"¿ "init"¿ {}
23¿ 35¿ "AST_parentOf"¿ "test"¿ {}
23¿ 38¿ "AST_parentOf"¿ "update"¿ {}
