FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"swfobject"}
3¿ 5¿ "AST_parentOf"¿ "init"¿ {}
5¿ 6¿ "AST_parentOf"¿ "callee"¿ {}
6¿ 7¿ "AST_parentOf"¿ "body"¿ {}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
7¿ 571¿ "AST_parentOf"¿ "body"¿ {"arg":1}
7¿ 634¿ "AST_parentOf"¿ "body"¿ {"arg":2}
7¿ 653¿ "AST_parentOf"¿ "body"¿ {"arg":3}
7¿ 740¿ "AST_parentOf"¿ "body"¿ {"arg":4}
7¿ 753¿ "AST_parentOf"¿ "body"¿ {"arg":5}
7¿ 889¿ "AST_parentOf"¿ "body"¿ {"arg":6}
7¿ 1208¿ "AST_parentOf"¿ "body"¿ {"arg":7}
7¿ 1263¿ "AST_parentOf"¿ "body"¿ {"arg":8}
7¿ 1292¿ "AST_parentOf"¿ "body"¿ {"arg":9}
7¿ 1582¿ "AST_parentOf"¿ "body"¿ {"arg":10}
7¿ 1674¿ "AST_parentOf"¿ "body"¿ {"arg":11}
7¿ 1782¿ "AST_parentOf"¿ "body"¿ {"arg":12}
7¿ 2094¿ "AST_parentOf"¿ "body"¿ {"arg":13}
7¿ 2126¿ "AST_parentOf"¿ "body"¿ {"arg":14}
7¿ 2194¿ "AST_parentOf"¿ "body"¿ {"arg":15}
7¿ 2235¿ "AST_parentOf"¿ "body"¿ {"arg":16}
7¿ 2258¿ "AST_parentOf"¿ "body"¿ {"arg":17}
7¿ 2268¿ "AST_parentOf"¿ "body"¿ {"arg":18}
7¿ 2292¿ "AST_parentOf"¿ "body"¿ {"arg":19}
7¿ 2397¿ "AST_parentOf"¿ "body"¿ {"arg":20}
7¿ 2583¿ "AST_parentOf"¿ "body"¿ {"arg":21}
7¿ 2627¿ "AST_parentOf"¿ "body"¿ {"arg":22}
7¿ 2657¿ "AST_parentOf"¿ "body"¿ {"arg":23}
7¿ 2771¿ "AST_parentOf"¿ "body"¿ {"arg":24}
8¿ 9¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
8¿ 12¿ "AST_parentOf"¿ "declarations"¿ {"arg":1}
8¿ 15¿ "AST_parentOf"¿ "declarations"¿ {"arg":2}
8¿ 18¿ "AST_parentOf"¿ "declarations"¿ {"arg":3}
8¿ 21¿ "AST_parentOf"¿ "declarations"¿ {"arg":4}
8¿ 24¿ "AST_parentOf"¿ "declarations"¿ {"arg":5}
8¿ 27¿ "AST_parentOf"¿ "declarations"¿ {"arg":6}
8¿ 30¿ "AST_parentOf"¿ "declarations"¿ {"arg":7}
8¿ 33¿ "AST_parentOf"¿ "declarations"¿ {"arg":8}
8¿ 36¿ "AST_parentOf"¿ "declarations"¿ {"arg":9}
8¿ 39¿ "AST_parentOf"¿ "declarations"¿ {"arg":10}
8¿ 42¿ "AST_parentOf"¿ "declarations"¿ {"arg":11}
8¿ 46¿ "AST_parentOf"¿ "declarations"¿ {"arg":12}
8¿ 49¿ "AST_parentOf"¿ "declarations"¿ {"arg":13}
8¿ 52¿ "AST_parentOf"¿ "declarations"¿ {"arg":14}
8¿ 55¿ "AST_parentOf"¿ "declarations"¿ {"arg":15}
8¿ 57¿ "AST_parentOf"¿ "declarations"¿ {"arg":16}
8¿ 59¿ "AST_parentOf"¿ "declarations"¿ {"arg":17}
8¿ 61¿ "AST_parentOf"¿ "declarations"¿ {"arg":18}
8¿ 63¿ "AST_parentOf"¿ "declarations"¿ {"arg":19}
8¿ 66¿ "AST_parentOf"¿ "declarations"¿ {"arg":20}
8¿ 69¿ "AST_parentOf"¿ "declarations"¿ {"arg":21}
8¿ 71¿ "AST_parentOf"¿ "declarations"¿ {"arg":22}
8¿ 73¿ "AST_parentOf"¿ "declarations"¿ {"arg":23}
8¿ 76¿ "AST_parentOf"¿ "declarations"¿ {"arg":24}
8¿ 392¿ "AST_parentOf"¿ "declarations"¿ {"arg":25}
9¿ 10¿ "AST_parentOf"¿ "id"¿ {"kwarg":"D"}
9¿ 11¿ "AST_parentOf"¿ "init"¿ {"kwarg":"undefined"}
12¿ 13¿ "AST_parentOf"¿ "id"¿ {"kwarg":"r"}
12¿ 14¿ "AST_parentOf"¿ "init"¿ {"kwarg":"object"}
15¿ 16¿ "AST_parentOf"¿ "id"¿ {"kwarg":"S"}
15¿ 17¿ "AST_parentOf"¿ "init"¿ {"kwarg":"Shockwave Flash"}
18¿ 19¿ "AST_parentOf"¿ "id"¿ {"kwarg":"W"}
18¿ 20¿ "AST_parentOf"¿ "init"¿ {"kwarg":"ShockwaveFlash.ShockwaveFlash"}
21¿ 22¿ "AST_parentOf"¿ "id"¿ {"kwarg":"q"}
21¿ 23¿ "AST_parentOf"¿ "init"¿ {"kwarg":"application/x-shockwave-flash"}
24¿ 25¿ "AST_parentOf"¿ "id"¿ {"kwarg":"R"}
