FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 49¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 50¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 7¿ "AST_parentOf"¿ "body"¿ {}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 9¿ "AST_parentOf"¿ "expression"¿ {}
9¿ 10¿ "AST_parentOf"¿ "test"¿ {}
9¿ 19¿ "AST_parentOf"¿ "consequent"¿ {}
9¿ 25¿ "AST_parentOf"¿ "alternate"¿ {}
10¿ 11¿ "AST_parentOf"¿ "left"¿ {}
10¿ 15¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "left"¿ {}
11¿ 14¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
12¿ 13¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {}
15¿ 18¿ "AST_parentOf"¿ "right"¿ {"kwarg":"undefined"}
16¿ 17¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"module"}
19¿ 20¿ "AST_parentOf"¿ "left"¿ {}
19¿ 23¿ "AST_parentOf"¿ "right"¿ {}
20¿ 21¿ "AST_parentOf"¿ "object"¿ {"kwarg":"module"}
20¿ 22¿ "AST_parentOf"¿ "property"¿ {"kwarg":"exports"}
23¿ 24¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
25¿ 26¿ "AST_parentOf"¿ "test"¿ {}
25¿ 34¿ "AST_parentOf"¿ "consequent"¿ {}
25¿ 37¿ "AST_parentOf"¿ "alternate"¿ {}
26¿ 27¿ "AST_parentOf"¿ "left"¿ {}
26¿ 31¿ "AST_parentOf"¿ "right"¿ {}
27¿ 28¿ "AST_parentOf"¿ "left"¿ {}
27¿ 30¿ "AST_parentOf"¿ "right"¿ {"kwarg":"function"}
28¿ 29¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
31¿ 32¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
31¿ 33¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
34¿ 35¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
34¿ 36¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
37¿ 38¿ "AST_parentOf"¿ "expressions"¿ {"arg":0}
37¿ 43¿ "AST_parentOf"¿ "expressions"¿ {"arg":1}
38¿ 39¿ "AST_parentOf"¿ "left"¿ {"kwarg":"global"}
38¿ 40¿ "AST_parentOf"¿ "right"¿ {}
40¿ 41¿ "AST_parentOf"¿ "left"¿ {"kwarg":"global"}
40¿ 42¿ "AST_parentOf"¿ "right"¿ {"kwarg":"self"}
43¿ 44¿ "AST_parentOf"¿ "left"¿ {}
43¿ 47¿ "AST_parentOf"¿ "right"¿ {}
44¿ 45¿ "AST_parentOf"¿ "object"¿ {"kwarg":"global"}
44¿ 46¿ "AST_parentOf"¿ "property"¿ {"kwarg":"Vue"}
47¿ 48¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
50¿ 51¿ "AST_parentOf"¿ "body"¿ {}
51¿ 52¿ "AST_parentOf"¿ "body"¿ {"arg":0}
51¿ 54¿ "AST_parentOf"¿ "body"¿ {"arg":1}
51¿ 62¿ "AST_parentOf"¿ "body"¿ {"arg":2}
51¿ 74¿ "AST_parentOf"¿ "body"¿ {"arg":3}
51¿ 86¿ "AST_parentOf"¿ "body"¿ {"arg":4}
51¿ 94¿ "AST_parentOf"¿ "body"¿ {"arg":5}
51¿ 102¿ "AST_parentOf"¿ "body"¿ {"arg":6}
51¿ 126¿ "AST_parentOf"¿ "body"¿ {"arg":7}
51¿ 139¿ "AST_parentOf"¿ "body"¿ {"arg":8}
51¿ 147¿ "AST_parentOf"¿ "body"¿ {"arg":9}
51¿ 163¿ "AST_parentOf"¿ "body"¿ {"arg":10}
51¿ 175¿ "AST_parentOf"¿ "body"¿ {"arg":11}
51¿ 187¿ "AST_parentOf"¿ "body"¿ {"arg":12}
51¿ 215¿ "AST_parentOf"¿ "body"¿ {"arg":13}
51¿ 237¿ "AST_parentOf"¿ "body"¿ {"arg":14}
51¿ 273¿ "AST_parentOf"¿ "body"¿ {"arg":15}
51¿ 290¿ "AST_parentOf"¿ "body"¿ {"arg":16}
51¿ 352¿ "AST_parentOf"¿ "body"¿ {"arg":17}
51¿ 359¿ "AST_parentOf"¿ "body"¿ {"arg":18}
51¿ 365¿ "AST_parentOf"¿ "body"¿ {"arg":19}
51¿ 396¿ "AST_parentOf"¿ "body"¿ {"arg":20}
51¿ 404¿ "AST_parentOf"¿ "body"¿ {"arg":21}
51¿ 416¿ "AST_parentOf"¿ "body"¿ {"arg":22}
51¿ 449¿ "AST_parentOf"¿ "body"¿ {"arg":23}
51¿ 453¿ "AST_parentOf"¿ "body"¿ {"arg":24}
51¿ 479¿ "AST_parentOf"¿ "body"¿ {"arg":25}
51¿ 502¿ "AST_parentOf"¿ "body"¿ {"arg":26}
51¿ 506¿ "AST_parentOf"¿ "body"¿ {"arg":27}
51¿ 524¿ "AST_parentOf"¿ "body"¿ {"arg":28}
51¿ 573¿ "AST_parentOf"¿ "body"¿ {"arg":29}
51¿ 584¿ "AST_parentOf"¿ "body"¿ {"arg":30}
51¿ 595¿ "AST_parentOf"¿ "body"¿ {"arg":31}
51¿ 636¿ "AST_parentOf"¿ "body"¿ {"arg":32}
51¿ 657¿ "AST_parentOf"¿ "body"¿ {"arg":33}
51¿ 692¿ "AST_parentOf"¿ "body"¿ {"arg":34}
51¿ 698¿ "AST_parentOf"¿ "body"¿ {"arg":35}
51¿ 708¿ "AST_parentOf"¿ "body"¿ {"arg":36}
51¿ 716¿ "AST_parentOf"¿ "body"¿ {"arg":37}
