FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 128¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "body"¿ {}
6¿ 7¿ "AST_parentOf"¿ "body"¿ {"arg":0}
6¿ 35¿ "AST_parentOf"¿ "body"¿ {"arg":1}
7¿ 8¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
8¿ 9¿ "AST_parentOf"¿ "id"¿ {"kwarg":"root"}
8¿ 10¿ "AST_parentOf"¿ "init"¿ {}
10¿ 11¿ "AST_parentOf"¿ "left"¿ {}
10¿ 23¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "left"¿ {}
11¿ 22¿ "AST_parentOf"¿ "right"¿ {"kwarg":"self"}
12¿ 13¿ "AST_parentOf"¿ "left"¿ {}
12¿ 17¿ "AST_parentOf"¿ "right"¿ {}
13¿ 14¿ "AST_parentOf"¿ "left"¿ {}
13¿ 16¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
14¿ 15¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"self"}
17¿ 18¿ "AST_parentOf"¿ "left"¿ {}
17¿ 21¿ "AST_parentOf"¿ "right"¿ {"kwarg":"self"}
18¿ 19¿ "AST_parentOf"¿ "object"¿ {"kwarg":"self"}
18¿ 20¿ "AST_parentOf"¿ "property"¿ {"kwarg":"self"}
23¿ 24¿ "AST_parentOf"¿ "left"¿ {}
23¿ 34¿ "AST_parentOf"¿ "right"¿ {"kwarg":"global"}
24¿ 25¿ "AST_parentOf"¿ "left"¿ {}
24¿ 29¿ "AST_parentOf"¿ "right"¿ {}
25¿ 26¿ "AST_parentOf"¿ "left"¿ {}
25¿ 28¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
26¿ 27¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"global"}
29¿ 30¿ "AST_parentOf"¿ "left"¿ {}
29¿ 33¿ "AST_parentOf"¿ "right"¿ {"kwarg":"global"}
30¿ 31¿ "AST_parentOf"¿ "object"¿ {"kwarg":"global"}
30¿ 32¿ "AST_parentOf"¿ "property"¿ {"kwarg":"global"}
35¿ 36¿ "AST_parentOf"¿ "test"¿ {}
35¿ 44¿ "AST_parentOf"¿ "consequent"¿ {}
35¿ 68¿ "AST_parentOf"¿ "alternate"¿ {}
36¿ 37¿ "AST_parentOf"¿ "left"¿ {}
36¿ 41¿ "AST_parentOf"¿ "right"¿ {}
37¿ 38¿ "AST_parentOf"¿ "left"¿ {}
37¿ 40¿ "AST_parentOf"¿ "right"¿ {"kwarg":"function"}
38¿ 39¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
41¿ 42¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
41¿ 43¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
44¿ 45¿ "AST_parentOf"¿ "body"¿ {"arg":0}
45¿ 46¿ "AST_parentOf"¿ "expression"¿ {}
46¿ 47¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
46¿ 48¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
46¿ 52¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
48¿ 49¿ "AST_parentOf"¿ "elements"¿ {"arg":0}
48¿ 50¿ "AST_parentOf"¿ "elements"¿ {"arg":1}
48¿ 51¿ "AST_parentOf"¿ "elements"¿ {"arg":2}
52¿ 53¿ "AST_parentOf"¿ "params"¿ {"arg":0}
52¿ 54¿ "AST_parentOf"¿ "params"¿ {"arg":1}
52¿ 55¿ "AST_parentOf"¿ "params"¿ {"arg":2}
52¿ 56¿ "AST_parentOf"¿ "body"¿ {}
56¿ 57¿ "AST_parentOf"¿ "body"¿ {"arg":0}
57¿ 58¿ "AST_parentOf"¿ "expression"¿ {}
58¿ 59¿ "AST_parentOf"¿ "left"¿ {}
58¿ 62¿ "AST_parentOf"¿ "right"¿ {}
59¿ 60¿ "AST_parentOf"¿ "object"¿ {"kwarg":"root"}
59¿ 61¿ "AST_parentOf"¿ "property"¿ {"kwarg":"Backbone"}
62¿ 63¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
62¿ 64¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
62¿ 65¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
62¿ 66¿ "AST_parentOf"¿ "arguments"¿ {"arg":2}
62¿ 67¿ "AST_parentOf"¿ "arguments"¿ {"arg":3}
68¿ 69¿ "AST_parentOf"¿ "test"¿ {}
68¿ 73¿ "AST_parentOf"¿ "consequent"¿ {}
68¿ 100¿ "AST_parentOf"¿ "alternate"¿ {}
69¿ 70¿ "AST_parentOf"¿ "left"¿ {}
69¿ 72¿ "AST_parentOf"¿ "right"¿ {"kwarg":"undefined"}
70¿ 71¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
73¿ 74¿ "AST_parentOf"¿ "body"¿ {"arg":0}
73¿ 82¿ "AST_parentOf"¿ "body"¿ {"arg":1}
73¿ 93¿ "AST_parentOf"¿ "body"¿ {"arg":2}
74¿ 75¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
74¿ 80¿ "AST_parentOf"¿ "declarations"¿ {"arg":1}
75¿ 76¿ "AST_parentOf"¿ "id"¿ {"kwarg":"_"}
75¿ 77¿ "AST_parentOf"¿ "init"¿ {}
77¿ 78¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
77¿ 79¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
80¿ 81¿ "AST_parentOf"¿ "id"¿ {"kwarg":"$"}
82¿ 83¿ "AST_parentOf"¿ "block"¿ {}
82¿ 90¿ "AST_parentOf"¿ "handlers"¿ {"arg":0}
83¿ 84¿ "AST_parentOf"¿ "body"¿ {"arg":0}
84¿ 85¿ "AST_parentOf"¿ "expression"¿ {}
