FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 1225¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 1226¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
3¿ 1227¿ "AST_parentOf"¿ "arguments"¿ {"arg":2}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 7¿ "AST_parentOf"¿ "params"¿ {"arg":2}
4¿ 8¿ "AST_parentOf"¿ "params"¿ {"arg":3}
4¿ 9¿ "AST_parentOf"¿ "body"¿ {}
9¿ 10¿ "AST_parentOf"¿ "body"¿ {"arg":0}
9¿ 76¿ "AST_parentOf"¿ "body"¿ {"arg":1}
9¿ 882¿ "AST_parentOf"¿ "body"¿ {"arg":2}
9¿ 1194¿ "AST_parentOf"¿ "body"¿ {"arg":3}
10¿ 11¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
10¿ 14¿ "AST_parentOf"¿ "declarations"¿ {"arg":1}
10¿ 19¿ "AST_parentOf"¿ "declarations"¿ {"arg":2}
11¿ 12¿ "AST_parentOf"¿ "id"¿ {"kwarg":"i"}
11¿ 13¿ "AST_parentOf"¿ "init"¿ {"kwarg":"growl"}
14¿ 15¿ "AST_parentOf"¿ "id"¿ {"kwarg":"s"}
14¿ 16¿ "AST_parentOf"¿ "init"¿ {}
16¿ 17¿ "AST_parentOf"¿ "left"¿ {"kwarg":"plugin_"}
16¿ 18¿ "AST_parentOf"¿ "right"¿ {"kwarg":"i"}
19¿ 20¿ "AST_parentOf"¿ "id"¿ {"kwarg":"o"}
19¿ 21¿ "AST_parentOf"¿ "init"¿ {}
21¿ 22¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
21¿ 25¿ "AST_parentOf"¿ "properties"¿ {"arg":1}
21¿ 28¿ "AST_parentOf"¿ "properties"¿ {"arg":2}
21¿ 31¿ "AST_parentOf"¿ "properties"¿ {"arg":3}
21¿ 40¿ "AST_parentOf"¿ "properties"¿ {"arg":4}
21¿ 43¿ "AST_parentOf"¿ "properties"¿ {"arg":5}
21¿ 46¿ "AST_parentOf"¿ "properties"¿ {"arg":6}
21¿ 49¿ "AST_parentOf"¿ "properties"¿ {"arg":7}
21¿ 52¿ "AST_parentOf"¿ "properties"¿ {"arg":8}
21¿ 55¿ "AST_parentOf"¿ "properties"¿ {"arg":9}
21¿ 58¿ "AST_parentOf"¿ "properties"¿ {"arg":10}
21¿ 61¿ "AST_parentOf"¿ "properties"¿ {"arg":11}
21¿ 70¿ "AST_parentOf"¿ "properties"¿ {"arg":12}
21¿ 73¿ "AST_parentOf"¿ "properties"¿ {"arg":13}
22¿ 23¿ "AST_parentOf"¿ "key"¿ {"kwarg":"element"}
22¿ 24¿ "AST_parentOf"¿ "value"¿ {"kwarg":"body"}
25¿ 26¿ "AST_parentOf"¿ "key"¿ {"kwarg":"type"}
25¿ 27¿ "AST_parentOf"¿ "value"¿ {"kwarg":"info"}
28¿ 29¿ "AST_parentOf"¿ "key"¿ {"kwarg":"allow_dismiss"}
28¿ 30¿ "AST_parentOf"¿ "value"¿ {"kwarg":true}
31¿ 32¿ "AST_parentOf"¿ "key"¿ {"kwarg":"placement"}
31¿ 33¿ "AST_parentOf"¿ "value"¿ {}
33¿ 34¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
33¿ 37¿ "AST_parentOf"¿ "properties"¿ {"arg":1}
34¿ 35¿ "AST_parentOf"¿ "key"¿ {"kwarg":"from"}
34¿ 36¿ "AST_parentOf"¿ "value"¿ {"kwarg":"top"}
37¿ 38¿ "AST_parentOf"¿ "key"¿ {"kwarg":"align"}
37¿ 39¿ "AST_parentOf"¿ "value"¿ {"kwarg":"right"}
40¿ 41¿ "AST_parentOf"¿ "key"¿ {"kwarg":"offset"}
40¿ 42¿ "AST_parentOf"¿ "value"¿ {"kwarg":20}
43¿ 44¿ "AST_parentOf"¿ "key"¿ {"kwarg":"spacing"}
43¿ 45¿ "AST_parentOf"¿ "value"¿ {"kwarg":10}
46¿ 47¿ "AST_parentOf"¿ "key"¿ {"kwarg":"z_index"}
46¿ 48¿ "AST_parentOf"¿ "value"¿ {"kwarg":1031}
49¿ 50¿ "AST_parentOf"¿ "key"¿ {"kwarg":"delay"}
49¿ 51¿ "AST_parentOf"¿ "value"¿ {"kwarg":5000}
52¿ 53¿ "AST_parentOf"¿ "key"¿ {"kwarg":"timer"}
52¿ 54¿ "AST_parentOf"¿ "value"¿ {"kwarg":1000}
55¿ 56¿ "AST_parentOf"¿ "key"¿ {"kwarg":"url_target"}
55¿ 57¿ "AST_parentOf"¿ "value"¿ {"kwarg":"_blank"}
58¿ 59¿ "AST_parentOf"¿ "key"¿ {"kwarg":"mouse_over"}
58¿ 60¿ "AST_parentOf"¿ "value"¿ {"kwarg":false}
61¿ 62¿ "AST_parentOf"¿ "key"¿ {"kwarg":"animate"}
61¿ 63¿ "AST_parentOf"¿ "value"¿ {}
63¿ 64¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
63¿ 67¿ "AST_parentOf"¿ "properties"¿ {"arg":1}
64¿ 65¿ "AST_parentOf"¿ "key"¿ {"kwarg":"enter"}
64¿ 66¿ "AST_parentOf"¿ "value"¿ {"kwarg":"animated fadeInDown"}
67¿ 68¿ "AST_parentOf"¿ "key"¿ {"kwarg":"exit"}
67¿ 69¿ "AST_parentOf"¿ "value"¿ {"kwarg":"animated fadeOutUp"}
70¿ 71¿ "AST_parentOf"¿ "key"¿ {"kwarg":"icon_type"}
70¿ 72¿ "AST_parentOf"¿ "value"¿ {"kwarg":"class"}
73¿ 74¿ "AST_parentOf"¿ "key"¿ {"kwarg":"template"}
