FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "argument"¿ {}
4¿ 5¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 80¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
4¿ 81¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
5¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":0}
5¿ 7¿ "AST_parentOf"¿ "params"¿ {"arg":1}
5¿ 8¿ "AST_parentOf"¿ "body"¿ {}
8¿ 9¿ "AST_parentOf"¿ "body"¿ {"arg":0}
9¿ 10¿ "AST_parentOf"¿ "test"¿ {}
9¿ 19¿ "AST_parentOf"¿ "consequent"¿ {}
9¿ 29¿ "AST_parentOf"¿ "alternate"¿ {}
10¿ 11¿ "AST_parentOf"¿ "left"¿ {}
10¿ 15¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "left"¿ {"kwarg":"object"}
11¿ 13¿ "AST_parentOf"¿ "right"¿ {}
13¿ 14¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {"kwarg":"object"}
15¿ 17¿ "AST_parentOf"¿ "right"¿ {}
17¿ 18¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"module"}
19¿ 20¿ "AST_parentOf"¿ "expression"¿ {}
20¿ 21¿ "AST_parentOf"¿ "left"¿ {}
20¿ 24¿ "AST_parentOf"¿ "right"¿ {}
21¿ 22¿ "AST_parentOf"¿ "object"¿ {"kwarg":"module"}
21¿ 23¿ "AST_parentOf"¿ "property"¿ {"kwarg":"exports"}
24¿ 25¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
24¿ 26¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
26¿ 27¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
26¿ 28¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
29¿ 30¿ "AST_parentOf"¿ "test"¿ {}
29¿ 38¿ "AST_parentOf"¿ "consequent"¿ {}
29¿ 44¿ "AST_parentOf"¿ "alternate"¿ {}
30¿ 31¿ "AST_parentOf"¿ "left"¿ {}
30¿ 35¿ "AST_parentOf"¿ "right"¿ {}
31¿ 32¿ "AST_parentOf"¿ "left"¿ {"kwarg":"function"}
31¿ 33¿ "AST_parentOf"¿ "right"¿ {}
33¿ 34¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
35¿ 36¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
35¿ 37¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
38¿ 39¿ "AST_parentOf"¿ "expression"¿ {}
39¿ 40¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
39¿ 41¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
39¿ 43¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
41¿ 42¿ "AST_parentOf"¿ "elements"¿ {"arg":0}
44¿ 45¿ "AST_parentOf"¿ "body"¿ {"arg":0}
44¿ 61¿ "AST_parentOf"¿ "body"¿ {"arg":1}
45¿ 46¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
46¿ 47¿ "AST_parentOf"¿ "id"¿ {"kwarg":"a"}
46¿ 48¿ "AST_parentOf"¿ "init"¿ {}
48¿ 49¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
48¿ 50¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
50¿ 51¿ "AST_parentOf"¿ "test"¿ {}
50¿ 55¿ "AST_parentOf"¿ "consequent"¿ {}
50¿ 58¿ "AST_parentOf"¿ "alternate"¿ {}
51¿ 52¿ "AST_parentOf"¿ "left"¿ {"kwarg":"object"}
51¿ 53¿ "AST_parentOf"¿ "right"¿ {}
53¿ 54¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
55¿ 56¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
55¿ 57¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
58¿ 59¿ "AST_parentOf"¿ "object"¿ {"kwarg":"root"}
58¿ 60¿ "AST_parentOf"¿ "property"¿ {"kwarg":"Raphael"}
61¿ 62¿ "AST_parentOf"¿ "left"¿ {}
61¿ 65¿ "AST_parentOf"¿ "right"¿ {"kwarg":"a"}
61¿ 66¿ "AST_parentOf"¿ "body"¿ {}
62¿ 63¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
63¿ 64¿ "AST_parentOf"¿ "id"¿ {"kwarg":"i"}
66¿ 67¿ "AST_parentOf"¿ "expression"¿ {}
67¿ 68¿ "AST_parentOf"¿ "left"¿ {}
67¿ 77¿ "AST_parentOf"¿ "right"¿ {}
68¿ 69¿ "AST_parentOf"¿ "object"¿ {}
68¿ 76¿ "AST_parentOf"¿ "property"¿ {"kwarg":"i"}
69¿ 70¿ "AST_parentOf"¿ "test"¿ {}
69¿ 74¿ "AST_parentOf"¿ "consequent"¿ {"kwarg":"exports"}
69¿ 75¿ "AST_parentOf"¿ "alternate"¿ {"kwarg":"root"}
70¿ 71¿ "AST_parentOf"¿ "left"¿ {"kwarg":"object"}
70¿ 72¿ "AST_parentOf"¿ "right"¿ {}
72¿ 73¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
77¿ 78¿ "AST_parentOf"¿ "object"¿ {"kwarg":"a"}
77¿ 79¿ "AST_parentOf"¿ "property"¿ {"kwarg":"i"}
81¿ 82¿ "AST_parentOf"¿ "params"¿ {"arg":0}
81¿ 83¿ "AST_parentOf"¿ "body"¿ {}
83¿ 84¿ "AST_parentOf"¿ "body"¿ {"arg":0}
84¿ 85¿ "AST_parentOf"¿ "argument"¿ {}
85¿ 86¿ "AST_parentOf"¿ "callee"¿ {}
85¿ 170¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
86¿ 87¿ "AST_parentOf"¿ "params"¿ {"arg":0}
86¿ 88¿ "AST_parentOf"¿ "body"¿ {}
