FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 54¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
4¿ 5¿ "AST_parentOf"¿ "id"¿ {"kwarg":"umd"}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 7¿ "AST_parentOf"¿ "body"¿ {}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 9¿ "AST_parentOf"¿ "test"¿ {}
8¿ 13¿ "AST_parentOf"¿ "consequent"¿ {}
8¿ 22¿ "AST_parentOf"¿ "alternate"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {"kwarg":"object"}
9¿ 11¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
13¿ 14¿ "AST_parentOf"¿ "body"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "expression"¿ {}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {}
15¿ 19¿ "AST_parentOf"¿ "right"¿ {}
16¿ 17¿ "AST_parentOf"¿ "object"¿ {"kwarg":"module"}
16¿ 18¿ "AST_parentOf"¿ "property"¿ {"kwarg":"exports"}
19¿ 20¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
19¿ 21¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
22¿ 23¿ "AST_parentOf"¿ "test"¿ {}
22¿ 35¿ "AST_parentOf"¿ "consequent"¿ {}
22¿ 45¿ "AST_parentOf"¿ "alternate"¿ {}
23¿ 24¿ "AST_parentOf"¿ "left"¿ {}
23¿ 28¿ "AST_parentOf"¿ "right"¿ {}
24¿ 25¿ "AST_parentOf"¿ "left"¿ {"kwarg":"function"}
24¿ 26¿ "AST_parentOf"¿ "right"¿ {}
26¿ 27¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
28¿ 29¿ "AST_parentOf"¿ "left"¿ {}
28¿ 32¿ "AST_parentOf"¿ "right"¿ {}
29¿ 30¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
29¿ 31¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
32¿ 33¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
32¿ 34¿ "AST_parentOf"¿ "property"¿ {"kwarg":"cmd"}
35¿ 36¿ "AST_parentOf"¿ "body"¿ {"arg":0}
36¿ 37¿ "AST_parentOf"¿ "expression"¿ {}
37¿ 38¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
37¿ 39¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
39¿ 40¿ "AST_parentOf"¿ "body"¿ {}
40¿ 41¿ "AST_parentOf"¿ "body"¿ {"arg":0}
41¿ 42¿ "AST_parentOf"¿ "argument"¿ {}
42¿ 43¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
42¿ 44¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
45¿ 46¿ "AST_parentOf"¿ "body"¿ {"arg":0}
46¿ 47¿ "AST_parentOf"¿ "expression"¿ {}
47¿ 48¿ "AST_parentOf"¿ "left"¿ {}
47¿ 51¿ "AST_parentOf"¿ "right"¿ {}
48¿ 49¿ "AST_parentOf"¿ "object"¿ {}
48¿ 50¿ "AST_parentOf"¿ "property"¿ {"kwarg":"analytics"}
51¿ 52¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"require"}
51¿ 53¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
54¿ 55¿ "AST_parentOf"¿ "callee"¿ {}
54¿ 234¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
54¿ 56972¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
54¿ 56973¿ "AST_parentOf"¿ "arguments"¿ {"arg":2}
55¿ 56¿ "AST_parentOf"¿ "id"¿ {"kwarg":"outer"}
55¿ 57¿ "AST_parentOf"¿ "params"¿ {"arg":0}
55¿ 58¿ "AST_parentOf"¿ "params"¿ {"arg":1}
55¿ 59¿ "AST_parentOf"¿ "params"¿ {"arg":2}
55¿ 60¿ "AST_parentOf"¿ "body"¿ {}
60¿ 61¿ "AST_parentOf"¿ "body"¿ {"arg":0}
60¿ 69¿ "AST_parentOf"¿ "body"¿ {"arg":1}
60¿ 101¿ "AST_parentOf"¿ "body"¿ {"arg":2}
60¿ 188¿ "AST_parentOf"¿ "body"¿ {"arg":3}
60¿ 214¿ "AST_parentOf"¿ "body"¿ {"arg":4}
60¿ 220¿ "AST_parentOf"¿ "body"¿ {"arg":5}
60¿ 226¿ "AST_parentOf"¿ "body"¿ {"arg":6}
60¿ 232¿ "AST_parentOf"¿ "body"¿ {"arg":7}
61¿ 62¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
62¿ 63¿ "AST_parentOf"¿ "id"¿ {"kwarg":"global"}
62¿ 64¿ "AST_parentOf"¿ "init"¿ {}
64¿ 65¿ "AST_parentOf"¿ "callee"¿ {}
65¿ 66¿ "AST_parentOf"¿ "body"¿ {}
66¿ 67¿ "AST_parentOf"¿ "body"¿ {"arg":0}
67¿ 68¿ "AST_parentOf"¿ "argument"¿ {}
69¿ 70¿ "AST_parentOf"¿ "id"¿ {"kwarg":"require"}
69¿ 71¿ "AST_parentOf"¿ "params"¿ {"arg":0}
69¿ 72¿ "AST_parentOf"¿ "params"¿ {"arg":1}
69¿ 73¿ "AST_parentOf"¿ "body"¿ {}
73¿ 74¿ "AST_parentOf"¿ "body"¿ {"arg":0}
73¿ 84¿ "AST_parentOf"¿ "body"¿ {"arg":1}
73¿ 93¿ "AST_parentOf"¿ "body"¿ {"arg":2}
74¿ 75¿ "AST_parentOf"¿ "test"¿ {}
74¿ 78¿ "AST_parentOf"¿ "consequent"¿ {}
75¿ 76¿ "AST_parentOf"¿ "object"¿ {"kwarg":"cache"}
75¿ 77¿ "AST_parentOf"¿ "property"¿ {"kwarg":"name"}
78¿ 79¿ "AST_parentOf"¿ "argument"¿ {}
