FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 128¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 188¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 201¿ "AST_parentOf"¿ "body"¿ {"arg":3}
1¿ 213¿ "AST_parentOf"¿ "body"¿ {"arg":4}
1¿ 223¿ "AST_parentOf"¿ "body"¿ {"arg":5}
1¿ 250¿ "AST_parentOf"¿ "body"¿ {"arg":6}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 16¿ "AST_parentOf"¿ "body"¿ {"arg":2}
5¿ 24¿ "AST_parentOf"¿ "body"¿ {"arg":3}
5¿ 32¿ "AST_parentOf"¿ "body"¿ {"arg":4}
5¿ 40¿ "AST_parentOf"¿ "body"¿ {"arg":5}
5¿ 59¿ "AST_parentOf"¿ "body"¿ {"arg":6}
5¿ 78¿ "AST_parentOf"¿ "body"¿ {"arg":7}
5¿ 85¿ "AST_parentOf"¿ "body"¿ {"arg":8}
5¿ 92¿ "AST_parentOf"¿ "body"¿ {"arg":9}
5¿ 99¿ "AST_parentOf"¿ "body"¿ {"arg":10}
6¿ 7¿ "AST_parentOf"¿ "expression"¿ {"kwarg":"use strict"}
8¿ 9¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
9¿ 10¿ "AST_parentOf"¿ "id"¿ {"kwarg":"navdrawerContainer"}
9¿ 11¿ "AST_parentOf"¿ "init"¿ {}
11¿ 12¿ "AST_parentOf"¿ "callee"¿ {}
11¿ 15¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
12¿ 13¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
12¿ 14¿ "AST_parentOf"¿ "property"¿ {"kwarg":"querySelector"}
16¿ 17¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "id"¿ {"kwarg":"appbarElement"}
17¿ 19¿ "AST_parentOf"¿ "init"¿ {}
19¿ 20¿ "AST_parentOf"¿ "callee"¿ {}
19¿ 23¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
20¿ 21¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
20¿ 22¿ "AST_parentOf"¿ "property"¿ {"kwarg":"querySelector"}
24¿ 25¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
25¿ 26¿ "AST_parentOf"¿ "id"¿ {"kwarg":"menuBtn"}
25¿ 27¿ "AST_parentOf"¿ "init"¿ {}
27¿ 28¿ "AST_parentOf"¿ "callee"¿ {}
27¿ 31¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
28¿ 29¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
28¿ 30¿ "AST_parentOf"¿ "property"¿ {"kwarg":"querySelector"}
32¿ 33¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
33¿ 34¿ "AST_parentOf"¿ "id"¿ {"kwarg":"main"}
33¿ 35¿ "AST_parentOf"¿ "init"¿ {}
35¿ 36¿ "AST_parentOf"¿ "callee"¿ {}
35¿ 39¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
36¿ 37¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
36¿ 38¿ "AST_parentOf"¿ "property"¿ {"kwarg":"querySelector"}
40¿ 41¿ "AST_parentOf"¿ "id"¿ {"kwarg":"closeMenu"}
40¿ 42¿ "AST_parentOf"¿ "body"¿ {}
42¿ 43¿ "AST_parentOf"¿ "body"¿ {"arg":0}
42¿ 51¿ "AST_parentOf"¿ "body"¿ {"arg":1}
43¿ 44¿ "AST_parentOf"¿ "expression"¿ {}
44¿ 45¿ "AST_parentOf"¿ "callee"¿ {}
44¿ 50¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
45¿ 46¿ "AST_parentOf"¿ "object"¿ {}
45¿ 49¿ "AST_parentOf"¿ "property"¿ {"kwarg":"remove"}
46¿ 47¿ "AST_parentOf"¿ "object"¿ {"kwarg":"appbarElement"}
46¿ 48¿ "AST_parentOf"¿ "property"¿ {"kwarg":"classList"}
51¿ 52¿ "AST_parentOf"¿ "expression"¿ {}
52¿ 53¿ "AST_parentOf"¿ "callee"¿ {}
52¿ 58¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
53¿ 54¿ "AST_parentOf"¿ "object"¿ {}
53¿ 57¿ "AST_parentOf"¿ "property"¿ {"kwarg":"remove"}
54¿ 55¿ "AST_parentOf"¿ "object"¿ {"kwarg":"navdrawerContainer"}
54¿ 56¿ "AST_parentOf"¿ "property"¿ {"kwarg":"classList"}
59¿ 60¿ "AST_parentOf"¿ "id"¿ {"kwarg":"toggleMenu"}
59¿ 61¿ "AST_parentOf"¿ "body"¿ {}
61¿ 62¿ "AST_parentOf"¿ "body"¿ {"arg":0}
61¿ 70¿ "AST_parentOf"¿ "body"¿ {"arg":1}
62¿ 63¿ "AST_parentOf"¿ "expression"¿ {}
63¿ 64¿ "AST_parentOf"¿ "callee"¿ {}
63¿ 69¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
64¿ 65¿ "AST_parentOf"¿ "object"¿ {}
64¿ 68¿ "AST_parentOf"¿ "property"¿ {"kwarg":"toggle"}
65¿ 66¿ "AST_parentOf"¿ "object"¿ {"kwarg":"appbarElement"}
65¿ 67¿ "AST_parentOf"¿ "property"¿ {"kwarg":"classList"}
70¿ 71¿ "AST_parentOf"¿ "expression"¿ {}
71¿ 72¿ "AST_parentOf"¿ "callee"¿ {}
71¿ 77¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
72¿ 73¿ "AST_parentOf"¿ "object"¿ {}
72¿ 76¿ "AST_parentOf"¿ "property"¿ {"kwarg":"toggle"}
73¿ 74¿ "AST_parentOf"¿ "object"¿ {"kwarg":"navdrawerContainer"}
73¿ 75¿ "AST_parentOf"¿ "property"¿ {"kwarg":"classList"}
78¿ 79¿ "AST_parentOf"¿ "expression"¿ {}
79¿ 80¿ "AST_parentOf"¿ "callee"¿ {}
79¿ 83¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
79¿ 84¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
80¿ 81¿ "AST_parentOf"¿ "object"¿ {"kwarg":"main"}
80¿ 82¿ "AST_parentOf"¿ "property"¿ {"kwarg":"addEventListener"}
85¿ 86¿ "AST_parentOf"¿ "expression"¿ {}
86¿ 87¿ "AST_parentOf"¿ "callee"¿ {}
86¿ 90¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
86¿ 91¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
87¿ 88¿ "AST_parentOf"¿ "object"¿ {"kwarg":"main"}
87¿ 89¿ "AST_parentOf"¿ "property"¿ {"kwarg":"addEventListener"}
92¿ 93¿ "AST_parentOf"¿ "expression"¿ {}
93¿ 94¿ "AST_parentOf"¿ "callee"¿ {}
93¿ 97¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
93¿ 98¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
94¿ 95¿ "AST_parentOf"¿ "object"¿ {"kwarg":"menuBtn"}
94¿ 96¿ "AST_parentOf"¿ "property"¿ {"kwarg":"addEventListener"}
99¿ 100¿ "AST_parentOf"¿ "expression"¿ {}
100¿ 101¿ "AST_parentOf"¿ "callee"¿ {}
100¿ 104¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
100¿ 105¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
101¿ 102¿ "AST_parentOf"¿ "object"¿ {"kwarg":"navdrawerContainer"}
101¿ 103¿ "AST_parentOf"¿ "property"¿ {"kwarg":"addEventListener"}
105¿ 106¿ "AST_parentOf"¿ "params"¿ {"arg":0}
105¿ 107¿ "AST_parentOf"¿ "body"¿ {}
107¿ 108¿ "AST_parentOf"¿ "body"¿ {"arg":0}
108¿ 109¿ "AST_parentOf"¿ "test"¿ {}
108¿ 124¿ "AST_parentOf"¿ "consequent"¿ {}
109¿ 110¿ "AST_parentOf"¿ "left"¿ {}
109¿ 117¿ "AST_parentOf"¿ "right"¿ {}
110¿ 111¿ "AST_parentOf"¿ "left"¿ {}
110¿ 116¿ "AST_parentOf"¿ "right"¿ {"kwarg":"A"}
111¿ 112¿ "AST_parentOf"¿ "object"¿ {}
111¿ 115¿ "AST_parentOf"¿ "property"¿ {"kwarg":"nodeName"}
