FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 7329¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 7330¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
3¿ 7331¿ "AST_parentOf"¿ "arguments"¿ {"arg":2}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 7¿ "AST_parentOf"¿ "params"¿ {"arg":2}
4¿ 8¿ "AST_parentOf"¿ "params"¿ {"arg":3}
4¿ 9¿ "AST_parentOf"¿ "body"¿ {}
9¿ 10¿ "AST_parentOf"¿ "body"¿ {"arg":0}
9¿ 12¿ "AST_parentOf"¿ "body"¿ {"arg":1}
9¿ 22¿ "AST_parentOf"¿ "body"¿ {"arg":2}
9¿ 30¿ "AST_parentOf"¿ "body"¿ {"arg":3}
9¿ 34¿ "AST_parentOf"¿ "body"¿ {"arg":4}
9¿ 40¿ "AST_parentOf"¿ "body"¿ {"arg":5}
9¿ 46¿ "AST_parentOf"¿ "body"¿ {"arg":6}
9¿ 52¿ "AST_parentOf"¿ "body"¿ {"arg":7}
9¿ 66¿ "AST_parentOf"¿ "body"¿ {"arg":8}
9¿ 91¿ "AST_parentOf"¿ "body"¿ {"arg":9}
9¿ 171¿ "AST_parentOf"¿ "body"¿ {"arg":10}
9¿ 264¿ "AST_parentOf"¿ "body"¿ {"arg":11}
9¿ 267¿ "AST_parentOf"¿ "body"¿ {"arg":12}
9¿ 359¿ "AST_parentOf"¿ "body"¿ {"arg":13}
9¿ 422¿ "AST_parentOf"¿ "body"¿ {"arg":14}
9¿ 440¿ "AST_parentOf"¿ "body"¿ {"arg":15}
9¿ 486¿ "AST_parentOf"¿ "body"¿ {"arg":16}
9¿ 502¿ "AST_parentOf"¿ "body"¿ {"arg":17}
9¿ 529¿ "AST_parentOf"¿ "body"¿ {"arg":18}
9¿ 541¿ "AST_parentOf"¿ "body"¿ {"arg":19}
9¿ 564¿ "AST_parentOf"¿ "body"¿ {"arg":20}
9¿ 587¿ "AST_parentOf"¿ "body"¿ {"arg":21}
9¿ 610¿ "AST_parentOf"¿ "body"¿ {"arg":22}
9¿ 624¿ "AST_parentOf"¿ "body"¿ {"arg":23}
9¿ 637¿ "AST_parentOf"¿ "body"¿ {"arg":24}
9¿ 697¿ "AST_parentOf"¿ "body"¿ {"arg":25}
9¿ 712¿ "AST_parentOf"¿ "body"¿ {"arg":26}
9¿ 812¿ "AST_parentOf"¿ "body"¿ {"arg":27}
9¿ 875¿ "AST_parentOf"¿ "body"¿ {"arg":28}
9¿ 879¿ "AST_parentOf"¿ "body"¿ {"arg":29}
9¿ 885¿ "AST_parentOf"¿ "body"¿ {"arg":30}
9¿ 907¿ "AST_parentOf"¿ "body"¿ {"arg":31}
9¿ 911¿ "AST_parentOf"¿ "body"¿ {"arg":32}
9¿ 917¿ "AST_parentOf"¿ "body"¿ {"arg":33}
9¿ 926¿ "AST_parentOf"¿ "body"¿ {"arg":34}
9¿ 938¿ "AST_parentOf"¿ "body"¿ {"arg":35}
9¿ 942¿ "AST_parentOf"¿ "body"¿ {"arg":36}
9¿ 946¿ "AST_parentOf"¿ "body"¿ {"arg":37}
9¿ 950¿ "AST_parentOf"¿ "body"¿ {"arg":38}
9¿ 954¿ "AST_parentOf"¿ "body"¿ {"arg":39}
9¿ 958¿ "AST_parentOf"¿ "body"¿ {"arg":40}
9¿ 962¿ "AST_parentOf"¿ "body"¿ {"arg":41}
9¿ 966¿ "AST_parentOf"¿ "body"¿ {"arg":42}
9¿ 970¿ "AST_parentOf"¿ "body"¿ {"arg":43}
9¿ 974¿ "AST_parentOf"¿ "body"¿ {"arg":44}
9¿ 978¿ "AST_parentOf"¿ "body"¿ {"arg":45}
9¿ 982¿ "AST_parentOf"¿ "body"¿ {"arg":46}
9¿ 986¿ "AST_parentOf"¿ "body"¿ {"arg":47}
9¿ 990¿ "AST_parentOf"¿ "body"¿ {"arg":48}
9¿ 994¿ "AST_parentOf"¿ "body"¿ {"arg":49}
9¿ 1000¿ "AST_parentOf"¿ "body"¿ {"arg":50}
9¿ 1006¿ "AST_parentOf"¿ "body"¿ {"arg":51}
9¿ 1012¿ "AST_parentOf"¿ "body"¿ {"arg":52}
9¿ 1018¿ "AST_parentOf"¿ "body"¿ {"arg":53}
9¿ 1024¿ "AST_parentOf"¿ "body"¿ {"arg":54}
9¿ 1093¿ "AST_parentOf"¿ "body"¿ {"arg":55}
9¿ 1211¿ "AST_parentOf"¿ "body"¿ {"arg":56}
9¿ 1265¿ "AST_parentOf"¿ "body"¿ {"arg":57}
9¿ 1370¿ "AST_parentOf"¿ "body"¿ {"arg":58}
9¿ 1677¿ "AST_parentOf"¿ "body"¿ {"arg":59}
9¿ 1797¿ "AST_parentOf"¿ "body"¿ {"arg":60}
9¿ 1967¿ "AST_parentOf"¿ "body"¿ {"arg":61}
9¿ 2043¿ "AST_parentOf"¿ "body"¿ {"arg":62}
9¿ 2128¿ "AST_parentOf"¿ "body"¿ {"arg":63}
9¿ 2150¿ "AST_parentOf"¿ "body"¿ {"arg":64}
9¿ 2185¿ "AST_parentOf"¿ "body"¿ {"arg":65}
9¿ 2238¿ "AST_parentOf"¿ "body"¿ {"arg":66}
9¿ 2292¿ "AST_parentOf"¿ "body"¿ {"arg":67}
9¿ 2317¿ "AST_parentOf"¿ "body"¿ {"arg":68}
9¿ 2342¿ "AST_parentOf"¿ "body"¿ {"arg":69}
9¿ 2355¿ "AST_parentOf"¿ "body"¿ {"arg":70}
9¿ 2359¿ "AST_parentOf"¿ "body"¿ {"arg":71}
9¿ 2363¿ "AST_parentOf"¿ "body"¿ {"arg":72}
9¿ 2391¿ "AST_parentOf"¿ "body"¿ {"arg":73}
9¿ 2485¿ "AST_parentOf"¿ "body"¿ {"arg":74}
9¿ 2504¿ "AST_parentOf"¿ "body"¿ {"arg":75}
