FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 26204¿ "AST_parentOf"¿ "body"¿ {"arg":1}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 59¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 60¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
4¿ 5¿ "AST_parentOf"¿ "id"¿ {"kwarg":"webpackUniversalModuleDefinition"}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 7¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 8¿ "AST_parentOf"¿ "body"¿ {}
8¿ 9¿ "AST_parentOf"¿ "body"¿ {"arg":0}
9¿ 10¿ "AST_parentOf"¿ "test"¿ {}
9¿ 19¿ "AST_parentOf"¿ "consequent"¿ {}
9¿ 26¿ "AST_parentOf"¿ "alternate"¿ {}
10¿ 11¿ "AST_parentOf"¿ "left"¿ {}
10¿ 15¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "left"¿ {}
11¿ 14¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
12¿ 13¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {}
15¿ 18¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
16¿ 17¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"module"}
19¿ 20¿ "AST_parentOf"¿ "expression"¿ {}
20¿ 21¿ "AST_parentOf"¿ "left"¿ {}
20¿ 24¿ "AST_parentOf"¿ "right"¿ {}
21¿ 22¿ "AST_parentOf"¿ "object"¿ {"kwarg":"module"}
21¿ 23¿ "AST_parentOf"¿ "property"¿ {"kwarg":"exports"}
24¿ 25¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
26¿ 27¿ "AST_parentOf"¿ "test"¿ {}
26¿ 35¿ "AST_parentOf"¿ "consequent"¿ {}
26¿ 40¿ "AST_parentOf"¿ "alternate"¿ {}
27¿ 28¿ "AST_parentOf"¿ "left"¿ {}
27¿ 32¿ "AST_parentOf"¿ "right"¿ {}
28¿ 29¿ "AST_parentOf"¿ "left"¿ {}
28¿ 31¿ "AST_parentOf"¿ "right"¿ {"kwarg":"function"}
29¿ 30¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
32¿ 33¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
32¿ 34¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
35¿ 36¿ "AST_parentOf"¿ "expression"¿ {}
36¿ 37¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
36¿ 38¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
36¿ 39¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
40¿ 41¿ "AST_parentOf"¿ "test"¿ {}
40¿ 45¿ "AST_parentOf"¿ "consequent"¿ {}
40¿ 52¿ "AST_parentOf"¿ "alternate"¿ {}
41¿ 42¿ "AST_parentOf"¿ "left"¿ {}
41¿ 44¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
42¿ 43¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
45¿ 46¿ "AST_parentOf"¿ "expression"¿ {}
46¿ 47¿ "AST_parentOf"¿ "left"¿ {}
46¿ 50¿ "AST_parentOf"¿ "right"¿ {}
47¿ 48¿ "AST_parentOf"¿ "object"¿ {"kwarg":"exports"}
47¿ 49¿ "AST_parentOf"¿ "property"¿ {"kwarg":"Handlebars"}
50¿ 51¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
52¿ 53¿ "AST_parentOf"¿ "expression"¿ {}
53¿ 54¿ "AST_parentOf"¿ "left"¿ {}
53¿ 57¿ "AST_parentOf"¿ "right"¿ {}
54¿ 55¿ "AST_parentOf"¿ "object"¿ {"kwarg":"root"}
