FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 43¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 44¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 7¿ "AST_parentOf"¿ "body"¿ {}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 9¿ "AST_parentOf"¿ "expression"¿ {}
9¿ 10¿ "AST_parentOf"¿ "test"¿ {}
9¿ 19¿ "AST_parentOf"¿ "consequent"¿ {}
9¿ 22¿ "AST_parentOf"¿ "alternate"¿ {}
10¿ 11¿ "AST_parentOf"¿ "left"¿ {}
10¿ 15¿ "AST_parentOf"¿ "right"¿ {}
11¿ 12¿ "AST_parentOf"¿ "left"¿ {}
11¿ 14¿ "AST_parentOf"¿ "right"¿ {"kwarg":"object"}
12¿ 13¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"exports"}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {}
15¿ 18¿ "AST_parentOf"¿ "right"¿ {"kwarg":"undefined"}
16¿ 17¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"module"}
19¿ 20¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
19¿ 21¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
22¿ 23¿ "AST_parentOf"¿ "test"¿ {}
22¿ 31¿ "AST_parentOf"¿ "consequent"¿ {}
22¿ 36¿ "AST_parentOf"¿ "alternate"¿ {}
23¿ 24¿ "AST_parentOf"¿ "left"¿ {}
23¿ 28¿ "AST_parentOf"¿ "right"¿ {}
24¿ 25¿ "AST_parentOf"¿ "left"¿ {}
24¿ 27¿ "AST_parentOf"¿ "right"¿ {"kwarg":"function"}
25¿ 26¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"define"}
28¿ 29¿ "AST_parentOf"¿ "object"¿ {"kwarg":"define"}
28¿ 30¿ "AST_parentOf"¿ "property"¿ {"kwarg":"amd"}
31¿ 32¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"define"}
31¿ 33¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
31¿ 35¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
33¿ 34¿ "AST_parentOf"¿ "elements"¿ {"arg":0}
36¿ 37¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"factory"}
36¿ 38¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
38¿ 39¿ "AST_parentOf"¿ "left"¿ {}
38¿ 42¿ "AST_parentOf"¿ "right"¿ {}
39¿ 40¿ "AST_parentOf"¿ "object"¿ {"kwarg":"global"}
39¿ 41¿ "AST_parentOf"¿ "property"¿ {"kwarg":"L"}
44¿ 45¿ "AST_parentOf"¿ "params"¿ {"arg":0}
44¿ 46¿ "AST_parentOf"¿ "body"¿ {}
46¿ 47¿ "AST_parentOf"¿ "body"¿ {"arg":0}
46¿ 49¿ "AST_parentOf"¿ "body"¿ {"arg":1}
46¿ 53¿ "AST_parentOf"¿ "body"¿ {"arg":2}
46¿ 59¿ "AST_parentOf"¿ "body"¿ {"arg":3}
46¿ 69¿ "AST_parentOf"¿ "body"¿ {"arg":4}
46¿ 118¿ "AST_parentOf"¿ "body"¿ {"arg":5}
46¿ 144¿ "AST_parentOf"¿ "body"¿ {"arg":6}
46¿ 208¿ "AST_parentOf"¿ "body"¿ {"arg":7}
46¿ 212¿ "AST_parentOf"¿ "body"¿ {"arg":8}
46¿ 231¿ "AST_parentOf"¿ "body"¿ {"arg":9}
46¿ 300¿ "AST_parentOf"¿ "body"¿ {"arg":10}
46¿ 341¿ "AST_parentOf"¿ "body"¿ {"arg":11}
46¿ 346¿ "AST_parentOf"¿ "body"¿ {"arg":12}
46¿ 375¿ "AST_parentOf"¿ "body"¿ {"arg":13}
46¿ 394¿ "AST_parentOf"¿ "body"¿ {"arg":14}
46¿ 406¿ "AST_parentOf"¿ "body"¿ {"arg":15}
46¿ 454¿ "AST_parentOf"¿ "body"¿ {"arg":16}
46¿ 513¿ "AST_parentOf"¿ "body"¿ {"arg":17}
46¿ 517¿ "AST_parentOf"¿ "body"¿ {"arg":18}
46¿ 563¿ "AST_parentOf"¿ "body"¿ {"arg":19}
46¿ 585¿ "AST_parentOf"¿ "body"¿ {"arg":20}
46¿ 615¿ "AST_parentOf"¿ "body"¿ {"arg":21}
46¿ 619¿ "AST_parentOf"¿ "body"¿ {"arg":22}
46¿ 641¿ "AST_parentOf"¿ "body"¿ {"arg":23}
46¿ 645¿ "AST_parentOf"¿ "body"¿ {"arg":24}
46¿ 680¿ "AST_parentOf"¿ "body"¿ {"arg":25}
46¿ 692¿ "AST_parentOf"¿ "body"¿ {"arg":26}
46¿ 716¿ "AST_parentOf"¿ "body"¿ {"arg":27}
46¿ 746¿ "AST_parentOf"¿ "body"¿ {"arg":28}
46¿ 760¿ "AST_parentOf"¿ "body"¿ {"arg":29}
46¿ 836¿ "AST_parentOf"¿ "body"¿ {"arg":30}
46¿ 839¿ "AST_parentOf"¿ "body"¿ {"arg":31}
46¿ 1068¿ "AST_parentOf"¿ "body"¿ {"arg":32}
46¿ 1085¿ "AST_parentOf"¿ "body"¿ {"arg":33}
46¿ 1104¿ "AST_parentOf"¿ "body"¿ {"arg":34}
46¿ 1171¿ "AST_parentOf"¿ "body"¿ {"arg":35}
46¿ 1238¿ "AST_parentOf"¿ "body"¿ {"arg":36}
46¿ 1962¿ "AST_parentOf"¿ "body"¿ {"arg":37}
46¿ 1970¿ "AST_parentOf"¿ "body"¿ {"arg":38}
46¿ 1982¿ "AST_parentOf"¿ "body"¿ {"arg":39}
46¿ 1990¿ "AST_parentOf"¿ "body"¿ {"arg":40}
46¿ 1998¿ "AST_parentOf"¿ "body"¿ {"arg":41}
46¿ 2006¿ "AST_parentOf"¿ "body"¿ {"arg":42}
