FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 153¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 158¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 713¿ "AST_parentOf"¿ "body"¿ {"arg":3}
1¿ 720¿ "AST_parentOf"¿ "body"¿ {"arg":4}
1¿ 724¿ "AST_parentOf"¿ "body"¿ {"arg":5}
1¿ 2446¿ "AST_parentOf"¿ "body"¿ {"arg":6}
1¿ 2496¿ "AST_parentOf"¿ "body"¿ {"arg":7}
1¿ 2663¿ "AST_parentOf"¿ "body"¿ {"arg":8}
1¿ 3029¿ "AST_parentOf"¿ "body"¿ {"arg":9}
1¿ 3049¿ "AST_parentOf"¿ "body"¿ {"arg":10}
1¿ 4956¿ "AST_parentOf"¿ "body"¿ {"arg":11}
1¿ 4976¿ "AST_parentOf"¿ "body"¿ {"arg":12}
1¿ 5590¿ "AST_parentOf"¿ "body"¿ {"arg":13}
1¿ 5695¿ "AST_parentOf"¿ "body"¿ {"arg":14}
1¿ 5939¿ "AST_parentOf"¿ "body"¿ {"arg":15}
1¿ 5950¿ "AST_parentOf"¿ "body"¿ {"arg":16}
1¿ 6101¿ "AST_parentOf"¿ "body"¿ {"arg":17}
1¿ 6109¿ "AST_parentOf"¿ "body"¿ {"arg":18}
1¿ 6669¿ "AST_parentOf"¿ "body"¿ {"arg":19}
1¿ 7157¿ "AST_parentOf"¿ "body"¿ {"arg":20}
1¿ 9436¿ "AST_parentOf"¿ "body"¿ {"arg":21}
1¿ 9442¿ "AST_parentOf"¿ "body"¿ {"arg":22}
1¿ 9527¿ "AST_parentOf"¿ "body"¿ {"arg":23}
1¿ 11285¿ "AST_parentOf"¿ "body"¿ {"arg":24}
1¿ 11322¿ "AST_parentOf"¿ "body"¿ {"arg":25}
1¿ 11448¿ "AST_parentOf"¿ "body"¿ {"arg":26}
1¿ 11472¿ "AST_parentOf"¿ "body"¿ {"arg":27}
1¿ 11479¿ "AST_parentOf"¿ "body"¿ {"arg":28}
1¿ 13423¿ "AST_parentOf"¿ "body"¿ {"arg":29}
1¿ 13554¿ "AST_parentOf"¿ "body"¿ {"arg":30}
1¿ 13604¿ "AST_parentOf"¿ "body"¿ {"arg":31}
1¿ 13664¿ "AST_parentOf"¿ "body"¿ {"arg":32}
1¿ 13707¿ "AST_parentOf"¿ "body"¿ {"arg":33}
1¿ 13725¿ "AST_parentOf"¿ "body"¿ {"arg":34}
1¿ 13764¿ "AST_parentOf"¿ "body"¿ {"arg":35}
1¿ 14231¿ "AST_parentOf"¿ "body"¿ {"arg":36}
1¿ 14243¿ "AST_parentOf"¿ "body"¿ {"arg":37}
1¿ 14552¿ "AST_parentOf"¿ "body"¿ {"arg":38}
1¿ 14596¿ "AST_parentOf"¿ "body"¿ {"arg":39}
1¿ 14608¿ "AST_parentOf"¿ "body"¿ {"arg":40}
1¿ 15150¿ "AST_parentOf"¿ "body"¿ {"arg":41}
1¿ 15246¿ "AST_parentOf"¿ "body"¿ {"arg":42}
1¿ 15373¿ "AST_parentOf"¿ "body"¿ {"arg":43}
1¿ 15413¿ "AST_parentOf"¿ "body"¿ {"arg":44}
1¿ 15519¿ "AST_parentOf"¿ "body"¿ {"arg":45}
1¿ 15715¿ "AST_parentOf"¿ "body"¿ {"arg":46}
1¿ 15747¿ "AST_parentOf"¿ "body"¿ {"arg":47}
1¿ 16303¿ "AST_parentOf"¿ "body"¿ {"arg":48}
1¿ 16634¿ "AST_parentOf"¿ "body"¿ {"arg":49}
1¿ 16704¿ "AST_parentOf"¿ "body"¿ {"arg":50}
1¿ 16784¿ "AST_parentOf"¿ "body"¿ {"arg":51}
1¿ 16870¿ "AST_parentOf"¿ "body"¿ {"arg":52}
1¿ 17016¿ "AST_parentOf"¿ "body"¿ {"arg":53}
1¿ 17076¿ "AST_parentOf"¿ "body"¿ {"arg":54}
1¿ 17173¿ "AST_parentOf"¿ "body"¿ {"arg":55}
1¿ 17293¿ "AST_parentOf"¿ "body"¿ {"arg":56}
1¿ 17416¿ "AST_parentOf"¿ "body"¿ {"arg":57}
1¿ 17651¿ "AST_parentOf"¿ "body"¿ {"arg":58}
1¿ 17850¿ "AST_parentOf"¿ "body"¿ {"arg":59}
1¿ 18048¿ "AST_parentOf"¿ "body"¿ {"arg":60}
1¿ 18099¿ "AST_parentOf"¿ "body"¿ {"arg":61}
1¿ 18514¿ "AST_parentOf"¿ "body"¿ {"arg":62}
1¿ 18808¿ "AST_parentOf"¿ "body"¿ {"arg":63}
1¿ 18921¿ "AST_parentOf"¿ "body"¿ {"arg":64}
1¿ 19033¿ "AST_parentOf"¿ "body"¿ {"arg":65}
1¿ 19660¿ "AST_parentOf"¿ "body"¿ {"arg":66}
1¿ 19843¿ "AST_parentOf"¿ "body"¿ {"arg":67}
1¿ 19867¿ "AST_parentOf"¿ "body"¿ {"arg":68}
1¿ 19873¿ "AST_parentOf"¿ "body"¿ {"arg":69}
1¿ 19883¿ "AST_parentOf"¿ "body"¿ {"arg":70}
1¿ 19992¿ "AST_parentOf"¿ "body"¿ {"arg":71}
1¿ 20109¿ "AST_parentOf"¿ "body"¿ {"arg":72}
1¿ 20217¿ "AST_parentOf"¿ "body"¿ {"arg":73}
1¿ 20268¿ "AST_parentOf"¿ "body"¿ {"arg":74}
1¿ 20288¿ "AST_parentOf"¿ "body"¿ {"arg":75}
1¿ 20296¿ "AST_parentOf"¿ "body"¿ {"arg":76}
1¿ 20531¿ "AST_parentOf"¿ "body"¿ {"arg":77}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"Scriptaculous"}
3¿ 5¿ "AST_parentOf"¿ "init"¿ {}
5¿ 6¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
5¿ 9¿ "AST_parentOf"¿ "properties"¿ {"arg":1}
5¿ 24¿ "AST_parentOf"¿ "properties"¿ {"arg":2}
6¿ 7¿ "AST_parentOf"¿ "key"¿ {"kwarg":"Version"}
6¿ 8¿ "AST_parentOf"¿ "value"¿ {"kwarg":"1.6"}
9¿ 10¿ "AST_parentOf"¿ "key"¿ {"kwarg":"require"}
9¿ 11¿ "AST_parentOf"¿ "value"¿ {}
11¿ 12¿ "AST_parentOf"¿ "params"¿ {"arg":0}
