FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 12¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 80¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 277¿ "AST_parentOf"¿ "body"¿ {"arg":3}
1¿ 578¿ "AST_parentOf"¿ "body"¿ {"arg":4}
1¿ 1149¿ "AST_parentOf"¿ "body"¿ {"arg":5}
1¿ 2361¿ "AST_parentOf"¿ "body"¿ {"arg":6}
1¿ 3282¿ "AST_parentOf"¿ "body"¿ {"arg":7}
1¿ 3983¿ "AST_parentOf"¿ "body"¿ {"arg":8}
1¿ 5599¿ "AST_parentOf"¿ "body"¿ {"arg":9}
1¿ 8476¿ "AST_parentOf"¿ "body"¿ {"arg":10}
1¿ 8901¿ "AST_parentOf"¿ "body"¿ {"arg":11}
1¿ 9675¿ "AST_parentOf"¿ "body"¿ {"arg":12}
1¿ 10202¿ "AST_parentOf"¿ "body"¿ {"arg":13}
2¿ 3¿ "AST_parentOf"¿ "test"¿ {}
2¿ 7¿ "AST_parentOf"¿ "consequent"¿ {}
3¿ 4¿ "AST_parentOf"¿ "left"¿ {}
3¿ 6¿ "AST_parentOf"¿ "right"¿ {"kwarg":"undefined"}
4¿ 5¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"jQuery"}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 9¿ "AST_parentOf"¿ "argument"¿ {}
9¿ 10¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"Error"}
9¿ 11¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
12¿ 13¿ "AST_parentOf"¿ "expression"¿ {}
13¿ 14¿ "AST_parentOf"¿ "argument"¿ {}
14¿ 15¿ "AST_parentOf"¿ "callee"¿ {}
14¿ 79¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
15¿ 16¿ "AST_parentOf"¿ "params"¿ {"arg":0}
15¿ 17¿ "AST_parentOf"¿ "body"¿ {}
17¿ 18¿ "AST_parentOf"¿ "body"¿ {"arg":0}
17¿ 20¿ "AST_parentOf"¿ "body"¿ {"arg":1}
17¿ 38¿ "AST_parentOf"¿ "body"¿ {"arg":2}
18¿ 19¿ "AST_parentOf"¿ "expression"¿ {"kwarg":"use strict"}
20¿ 21¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
21¿ 22¿ "AST_parentOf"¿ "id"¿ {"kwarg":"version"}
21¿ 23¿ "AST_parentOf"¿ "init"¿ {}
23¿ 24¿ "AST_parentOf"¿ "callee"¿ {}
23¿ 37¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
24¿ 25¿ "AST_parentOf"¿ "object"¿ {}
24¿ 36¿ "AST_parentOf"¿ "property"¿ {"kwarg":"split"}
