FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"cookies"}
3¿ 5¿ "AST_parentOf"¿ "init"¿ {}
5¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":0}
5¿ 7¿ "AST_parentOf"¿ "params"¿ {"arg":1}
5¿ 8¿ "AST_parentOf"¿ "body"¿ {}
8¿ 9¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 43¿ "AST_parentOf"¿ "body"¿ {"arg":1}
8¿ 97¿ "AST_parentOf"¿ "body"¿ {"arg":2}
8¿ 104¿ "AST_parentOf"¿ "body"¿ {"arg":3}
8¿ 141¿ "AST_parentOf"¿ "body"¿ {"arg":4}
8¿ 259¿ "AST_parentOf"¿ "body"¿ {"arg":5}
8¿ 387¿ "AST_parentOf"¿ "body"¿ {"arg":6}
9¿ 10¿ "AST_parentOf"¿ "id"¿ {"kwarg":"defaults"}
9¿ 11¿ "AST_parentOf"¿ "params"¿ {"arg":0}
9¿ 12¿ "AST_parentOf"¿ "params"¿ {"arg":1}
9¿ 13¿ "AST_parentOf"¿ "body"¿ {}
13¿ 14¿ "AST_parentOf"¿ "body"¿ {"arg":0}
13¿ 20¿ "AST_parentOf"¿ "body"¿ {"arg":1}
13¿ 41¿ "AST_parentOf"¿ "body"¿ {"arg":2}
14¿ 15¿ "AST_parentOf"¿ "expression"¿ {}
15¿ 16¿ "AST_parentOf"¿ "left"¿ {"kwarg":"obj"}
15¿ 17¿ "AST_parentOf"¿ "right"¿ {}
17¿ 18¿ "AST_parentOf"¿ "left"¿ {"kwarg":"obj"}
17¿ 19¿ "AST_parentOf"¿ "right"¿ {}
20¿ 21¿ "AST_parentOf"¿ "left"¿ {}
20¿ 24¿ "AST_parentOf"¿ "right"¿ {"kwarg":"defs"}
20¿ 25¿ "AST_parentOf"¿ "body"¿ {}
21¿ 22¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
22¿ 23¿ "AST_parentOf"¿ "id"¿ {"kwarg":"key"}
25¿ 26¿ "AST_parentOf"¿ "body"¿ {"arg":0}
26¿ 27¿ "AST_parentOf"¿ "test"¿ {}
26¿ 32¿ "AST_parentOf"¿ "consequent"¿ {}
27¿ 28¿ "AST_parentOf"¿ "left"¿ {}
27¿ 31¿ "AST_parentOf"¿ "right"¿ {"kwarg":"undefined"}
28¿ 29¿ "AST_parentOf"¿ "object"¿ {"kwarg":"obj"}
28¿ 30¿ "AST_parentOf"¿ "property"¿ {"kwarg":"key"}
32¿ 33¿ "AST_parentOf"¿ "body"¿ {"arg":0}
33¿ 34¿ "AST_parentOf"¿ "expression"¿ {}
34¿ 35¿ "AST_parentOf"¿ "left"¿ {}
34¿ 38¿ "AST_parentOf"¿ "right"¿ {}
35¿ 36¿ "AST_parentOf"¿ "object"¿ {"kwarg":"obj"}
35¿ 37¿ "AST_parentOf"¿ "property"¿ {"kwarg":"key"}
38¿ 39¿ "AST_parentOf"¿ "object"¿ {"kwarg":"defs"}
38¿ 40¿ "AST_parentOf"¿ "property"¿ {"kwarg":"key"}
41¿ 42¿ "AST_parentOf"¿ "argument"¿ {"kwarg":"obj"}
43¿ 44¿ "AST_parentOf"¿ "expression"¿ {}
44¿ 45¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"defaults"}
44¿ 46¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
44¿ 47¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
47¿ 48¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
47¿ 55¿ "AST_parentOf"¿ "properties"¿ {"arg":1}
47¿ 58¿ "AST_parentOf"¿ "properties"¿ {"arg":2}
47¿ 67¿ "AST_parentOf"¿ "properties"¿ {"arg":3}
47¿ 70¿ "AST_parentOf"¿ "properties"¿ {"arg":4}
47¿ 73¿ "AST_parentOf"¿ "properties"¿ {"arg":5}
47¿ 76¿ "AST_parentOf"¿ "properties"¿ {"arg":6}
47¿ 85¿ "AST_parentOf"¿ "properties"¿ {"arg":7}
47¿ 94¿ "AST_parentOf"¿ "properties"¿ {"arg":8}
48¿ 49¿ "AST_parentOf"¿ "key"¿ {"kwarg":"expires"}
48¿ 50¿ "AST_parentOf"¿ "value"¿ {}
50¿ 51¿ "AST_parentOf"¿ "left"¿ {}
50¿ 54¿ "AST_parentOf"¿ "right"¿ {"kwarg":3600}
51¿ 52¿ "AST_parentOf"¿ "left"¿ {"kwarg":365}
51¿ 53¿ "AST_parentOf"¿ "right"¿ {"kwarg":24}
55¿ 56¿ "AST_parentOf"¿ "key"¿ {"kwarg":"path"}
55¿ 57¿ "AST_parentOf"¿ "value"¿ {"kwarg":"/"}
58¿ 59¿ "AST_parentOf"¿ "key"¿ {"kwarg":"secure"}
58¿ 60¿ "AST_parentOf"¿ "value"¿ {}
60¿ 61¿ "AST_parentOf"¿ "left"¿ {}
60¿ 66¿ "AST_parentOf"¿ "right"¿ {"kwarg":"https:"}
