FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 6982¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 45514¿ "AST_parentOf"¿ "body"¿ {"arg":2}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
3¿ 6909¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
3¿ 6926¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
4¿ 5¿ "AST_parentOf"¿ "params"¿ {"arg":0}
4¿ 6¿ "AST_parentOf"¿ "params"¿ {"arg":1}
4¿ 7¿ "AST_parentOf"¿ "body"¿ {}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {"arg":0}
7¿ 45¿ "AST_parentOf"¿ "body"¿ {"arg":1}
7¿ 260¿ "AST_parentOf"¿ "body"¿ {"arg":2}
7¿ 271¿ "AST_parentOf"¿ "body"¿ {"arg":3}
7¿ 302¿ "AST_parentOf"¿ "body"¿ {"arg":4}
7¿ 345¿ "AST_parentOf"¿ "body"¿ {"arg":5}
7¿ 364¿ "AST_parentOf"¿ "body"¿ {"arg":6}
7¿ 401¿ "AST_parentOf"¿ "body"¿ {"arg":7}
7¿ 468¿ "AST_parentOf"¿ "body"¿ {"arg":8}
7¿ 482¿ "AST_parentOf"¿ "body"¿ {"arg":9}
7¿ 555¿ "AST_parentOf"¿ "body"¿ {"arg":10}
7¿ 576¿ "AST_parentOf"¿ "body"¿ {"arg":11}
7¿ 592¿ "AST_parentOf"¿ "body"¿ {"arg":12}
7¿ 615¿ "AST_parentOf"¿ "body"¿ {"arg":13}
7¿ 639¿ "AST_parentOf"¿ "body"¿ {"arg":14}
7¿ 993¿ "AST_parentOf"¿ "body"¿ {"arg":15}
7¿ 1005¿ "AST_parentOf"¿ "body"¿ {"arg":16}
