FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 9¿ "AST_parentOf"¿ "body"¿ {"arg":1}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
2¿ 5¿ "AST_parentOf"¿ "declarations"¿ {"arg":1}
2¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":2}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"requirejs"}
5¿ 6¿ "AST_parentOf"¿ "id"¿ {"kwarg":"require"}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"define"}
9¿ 10¿ "AST_parentOf"¿ "expression"¿ {}
10¿ 11¿ "AST_parentOf"¿ "callee"¿ {}
10¿ 5851¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
11¿ 12¿ "AST_parentOf"¿ "params"¿ {"arg":0}
11¿ 13¿ "AST_parentOf"¿ "body"¿ {}
13¿ 14¿ "AST_parentOf"¿ "body"¿ {"arg":0}
13¿ 141¿ "AST_parentOf"¿ "body"¿ {"arg":1}
13¿ 153¿ "AST_parentOf"¿ "body"¿ {"arg":2}
13¿ 165¿ "AST_parentOf"¿ "body"¿ {"arg":3}
13¿ 203¿ "AST_parentOf"¿ "body"¿ {"arg":4}
13¿ 244¿ "AST_parentOf"¿ "body"¿ {"arg":5}
13¿ 256¿ "AST_parentOf"¿ "body"¿ {"arg":6}
13¿ 270¿ "AST_parentOf"¿ "body"¿ {"arg":7}
13¿ 297¿ "AST_parentOf"¿ "body"¿ {"arg":8}
13¿ 379¿ "AST_parentOf"¿ "body"¿ {"arg":9}
13¿ 394¿ "AST_parentOf"¿ "body"¿ {"arg":10}
13¿ 403¿ "AST_parentOf"¿ "body"¿ {"arg":11}
13¿ 409¿ "AST_parentOf"¿ "body"¿ {"arg":12}
13¿ 442¿ "AST_parentOf"¿ "body"¿ {"arg":13}
13¿ 482¿ "AST_parentOf"¿ "body"¿ {"arg":14}
13¿ 489¿ "AST_parentOf"¿ "body"¿ {"arg":15}
13¿ 509¿ "AST_parentOf"¿ "body"¿ {"arg":16}
13¿ 528¿ "AST_parentOf"¿ "body"¿ {"arg":17}
13¿ 5006¿ "AST_parentOf"¿ "body"¿ {"arg":18}
13¿ 5117¿ "AST_parentOf"¿ "body"¿ {"arg":19}
13¿ 5129¿ "AST_parentOf"¿ "body"¿ {"arg":20}
13¿ 5153¿ "AST_parentOf"¿ "body"¿ {"arg":21}
13¿ 5161¿ "AST_parentOf"¿ "body"¿ {"arg":22}
13¿ 5167¿ "AST_parentOf"¿ "body"¿ {"arg":23}
13¿ 5173¿ "AST_parentOf"¿ "body"¿ {"arg":24}
13¿ 5179¿ "AST_parentOf"¿ "body"¿ {"arg":25}
13¿ 5193¿ "AST_parentOf"¿ "body"¿ {"arg":26}
